ID,Title,Year,Image,Pages
294474,Oppenheimer,2023,https://pics.filmaffinity.com/oppenheimer-828933592-msmall.jpg,79
484144,La sociedad de la nieve,2023,https://pics.filmaffinity.com/la_sociedad_de_la_nieve-826551508-msmall.jpg,55
506593,Barbie,2023,https://pics.filmaffinity.com/barbie-295661697-msmall.jpg,82
270023,Pobres criaturas,2023,https://pics.filmaffinity.com/poor_things-235700969-msmall.jpg,61
205905,The Last of Us,2023,https://pics.filmaffinity.com/the_last_of_us-722385305-msmall.jpg,31
108208,Anatomía de una caída,2023,https://pics.filmaffinity.com/anatomie_d_une_chute-695566678-msmall.jpg,36
144980,Guardianes de la galaxia Vol. 3,2023,https://pics.filmaffinity.com/guardians_of_the_galaxy_vol_3-466272381-msmall.jpg,26
970587,Los asesinos de la luna,2023,https://pics.filmaffinity.com/killers_of_the_flower_moon-211527208-msmall.jpg,48
989177,Indiana Jones y el dial del destino,2023,https://pics.filmaffinity.com/indiana_jones_and_the_dial_of_destiny-145866922-msmall.jpg,46
520586,Super Mario Bros: La película,2023,https://pics.filmaffinity.com/the_super_mario_bros_movie-521125124-msmall.jpg,26
450022,Vidas pasadas,2023,https://pics.filmaffinity.com/past_lives-224757039-msmall.jpg,28
327962,El asesino,2023,https://pics.filmaffinity.com/the_killer-609845433-msmall.jpg,24
655530,La zona de interés,2023,https://pics.filmaffinity.com/the_zone_of_interest-642266949-msmall.jpg,32
966677,AIR,2023,https://pics.filmaffinity.com/air-500673673-msmall.jpg,17
188322,Napoleón,2023,https://pics.filmaffinity.com/napoleon-602820505-msmall.jpg,49
986365,Saltburn,2023,https://pics.filmaffinity.com/saltburn-405752716-msmall.jpg,18
213653,Spider-Man: Cruzando el Multiverso,2023,https://pics.filmaffinity.com/spider_man_across_the_spider_verse-257260163-msmall.jpg,24
219736,John Wick 4,2023,https://pics.filmaffinity.com/john_wick_chapter_4-101402041-msmall.jpg,22
290444,Dejar el mundo atrás,2023,https://pics.filmaffinity.com/leave_the_world_behind-433256303-msmall.jpg,23
313208,Elemental,2023,https://pics.filmaffinity.com/elemental-694000259-msmall.jpg,14
363637,Dungeons & Dragons: Honor entre ladrones,2023,https://pics.filmaffinity.com/dungeons_dragons_honor_among_thieves-651649500-msmall.jpg,17
401086,Llaman a la puerta,2023,https://pics.filmaffinity.com/knock_at_the_cabin-261379789-msmall.jpg,24
397878,The Creator,2023,https://pics.filmaffinity.com/the_creator-470808400-msmall.jpg,24
119599,Los que se quedan,2023,https://pics.filmaffinity.com/the_holdovers-349054843-msmall.jpg,24
325218,Flash,2023,https://pics.filmaffinity.com/the_flash-205686824-msmall.jpg,26
430111,Wonka,2023,https://pics.filmaffinity.com/wonka-476523968-msmall.jpg,17
945258,Misión imposible: Sentencia mortal - Parte 1,2023,https://pics.filmaffinity.com/mission_impossible_dead_reckoning_part_one-902615661-msmall.jpg,25
556337,La Mesías,2023,https://pics.filmaffinity.com/la_mesias-904861922-msmall.jpg,17
763381,Fallen Leaves,2023,https://pics.filmaffinity.com/kuolleet_lehdet-954899133-msmall.jpg,19
113178,Guy Ritchie: El pacto,2023,https://pics.filmaffinity.com/guy_ritchie_s_the_covenant-145554066-msmall.jpg,10
227540,As bestas,2022,https://pics.filmaffinity.com/as_bestas-275688233-msmall.jpg,51
911057,The Batman,2022,https://pics.filmaffinity.com/the_batman-449856406-msmall.jpg,75
506901,Todo a la vez en todas partes,2022,https://pics.filmaffinity.com/everything_everywhere_all_at_once-897692218-msmall.jpg,56
395388,Top Gun: Maverick,2022,https://pics.filmaffinity.com/top_gun_maverick-537976462-msmall.jpg,44
899895,Avatar: El sentido del agua,2022,https://pics.filmaffinity.com/avatar_the_way_of_water-722646748-msmall.jpg,64
142416,Bullet Train,2022,https://pics.filmaffinity.com/bullet_train-757922812-msmall.jpg,29
716846,Puñales por la espalda: El misterio de Glass Onion,2022,https://pics.filmaffinity.com/glass_onion_a_knives_out_mystery-428355632-msmall.jpg,25
880392,El hombre del norte,2022,https://pics.filmaffinity.com/the_northman-710039658-msmall.jpg,44
774803,El menú,2022,https://pics.filmaffinity.com/the_menu-905441147-msmall.jpg,26
771693,Babylon,2022,https://pics.filmaffinity.com/babylon-747027954-msmall.jpg,41
927664,Los renglones torcidos de Dios,2022,https://pics.filmaffinity.com/los_renglones_torcidos_de_dios-670212742-msmall.jpg,30
589077,Elvis,2022,https://pics.filmaffinity.com/elvis-647942773-msmall.jpg,29
563654,Doctor Strange en el multiverso de la locura,2022,https://pics.filmaffinity.com/doctor_strange_in_the_multiverse_of_madness-610981386-msmall.jpg,33
621534,Sin novedad en el frente,2022,https://pics.filmaffinity.com/im_westen_nichts_neues-582072472-msmall.jpg,25
160764,La ballena (The Whale),2022,https://pics.filmaffinity.com/the_whale-293958603-msmall.jpg,33
388341,La Casa del Dragón,2022,https://pics.filmaffinity.com/house_of_the_dragon-678918948-msmall.jpg,24
941659,Almas en pena de Inisherin,2022,https://pics.filmaffinity.com/the_banshees_of_inisherin-847183557-msmall.jpg,31
309973,Cinco lobitos,2022,https://pics.filmaffinity.com/cinco_lobitos-443979892-msmall.jpg,25
968107,El triángulo de la tristeza,2022,https://pics.filmaffinity.com/triangle_of_sadness-259032337-msmall.jpg,23
677826,Modelo 77,2022,https://pics.filmaffinity.com/modelo_77-740028363-msmall.jpg,14
255760,Thor: Love and Thunder,2022,https://pics.filmaffinity.com/thor_love_and_thunder-566116133-msmall.jpg,32
622579,El señor de los anillos: Los anillos de poder,2022,https://pics.filmaffinity.com/lord_of_the_rings_the_rings_of_power-159886546-msmall.jpg,55
